Datum,Landesverbrauch_GWh,Endverbrauch_GWh
,,
2017-01-01,170,150
2017-01-02,179,162
2017-01-03,200,183
2017-01-04,202,188
2017-01-05,207,190
2017-01-06,211,196
2017-01-07,195,182
2017-01-08,180,165
2017-01-09,213,197
2017-01-10,216,200
2017-01-11,211,196
2017-01-12,209,194
2017-01-13,216,197
2017-01-14,202,177
2017-01-15,200,169
2017-01-16,224,205
2017-01-17,228,211
2017-01-18,228,213
2017-01-19,226,212
2017-01-20,223,210
2017-01-21,204,186
2017-01-22,203,175
2017-01-23,226,207
2017-01-24,228,212
2017-01-25,231,213
2017-01-26,229,212
2017-01-27,222,204
2017-01-28,202,177
2017-01-29,192,163
2017-01-30,213,195
2017-01-31,210,192
2017-02-01,208,186
2017-02-02,208,186
2017-02-03,207,183
2017-02-04,198,166
2017-02-05,194,160
2017-02-06,209,187
2017-02-07,214,192
2017-02-08,210,192
2017-02-09,213,195
2017-02-10,208,192
2017-02-11,183,168
2017-02-12,181,155
2017-02-13,208,190
2017-02-14,204,188
2017-02-15,203,184
2017-02-16,197,182
2017-02-17,199,185
2017-02-18,178,163
2017-02-19,176,150
2017-02-20,193,178
2017-02-21,197,179
2017-02-22,194,175
2017-02-23,190,172
2017-02-24,195,178
2017-02-25,173,158
2017-02-26,168,146
2017-02-27,188,172
2017-02-28,201,182
2017-03-01,199,182
2017-03-02,196,179
2017-03-03,192,177
2017-03-04,174,153
2017-03-05,173,144
2017-03-06,201,180
2017-03-07,199,183
2017-03-08,201,183
2017-03-09,198,180
2017-03-10,191,170
2017-03-11,178,149
2017-03-12,169,137
2017-03-13,187,168
2017-03-14,183,168
2017-03-15,181,167
2017-03-16,183,165
2017-03-17,176,161
2017-03-18,169,146
2017-03-19,162,131
2017-03-20,176,159
2017-03-21,182,164
2017-03-22,188,170
2017-03-23,182,165
2017-03-24,179,164
2017-03-25,162,139
2017-03-26,155,131
2017-03-27,175,160
2017-03-28,176,158
2017-03-29,174,157
2017-03-30,175,156
2017-03-31,168,153
2017-04-01,147,132
2017-04-02,146,125
2017-04-03,165,154
2017-04-04,169,158
2017-04-05,171,160
2017-04-06,172,160
